,lst
0,9113
1,1770
2,2595
3,12855
4,14222
5,2137
6,2709
7,1509
8,4705
9,17989
10,726
11,6135
12,17683
13,19753
14,6939
15,10087
16,441
17,1914
18,18880
19,12703
20,8943
21,13734
22,8728
23,18949
24,13816
25,4833
26,6483
27,4104
28,13469
29,2792
30,16495
31,15126
32,17454
33,3540
34,9690
35,4857
36,19746
37,14080
38,9301
39,19537
40,11240
41,17638
42,13738
43,8527
44,1980
45,16157
46,9694
47,19141
48,16574
49,16450
50,12128
51,5297
52,14384
53,3920
54,10487
55,15355
56,2146
57,6182
58,4304
59,15632
60,3192
61,17578
62,5852
63,1390
64,12255
65,12913
66,17043
67,16014
68,13969
69,8584
70,16668
71,9761
72,17067
73,5316
74,9640
75,1407
76,11557
77,15349
78,6387
79,104
80,13117
81,3975
82,16380
83,3910
84,17555
85,19506
86,6287
87,18034
88,10426
89,10612
90,8906
91,19709
92,16118
93,2909
94,1075
95,16437
96,14470
97,16319
98,10564
99,5638
100,6193
101,4878
102,952
103,5153
104,12170
105,12195
106,19065
107,9521
108,5508
109,6976
110,12909
111,16601
112,2298
113,6539
114,14143
115,10135
116,17269
117,2964
118,6074
119,1174
120,15874
121,943
122,7628
123,5812
124,3537
125,11856
126,7902
127,11781
128,19547
129,4754
130,19337
131,18090
132,8172
133,13410
134,950
135,3162
136,18568
137,1021
138,8095
139,11222
140,4127
141,6196
142,17461
143,8976
144,15873
145,2994
146,734
147,11458
148,5385
149,10092
150,11397
151,16460
152,15295
153,12759
154,2138
155,14177
156,13121
157,15930
158,19177
159,5907
160,3621
161,4703
162,15125
163,18517
164,10785
165,13190
166,19058
167,11678
168,10020
169,2437
170,1790
171,3298
172,2372
173,17878
174,7738
175,8972
176,15589
177,4107
178,1089
179,13534
180,1335
181,15391
182,16715
183,16180
184,166
185,9532
186,10024
187,11289
188,3366
189,8208
190,10749
191,5616
192,563
193,16122
194,13844
195,426
196,13823
197,7804
198,17901
199,14617
200,6665
201,13235
202,9851
203,17008
204,14729
205,1437
206,4487
207,4799
208,8010
209,14259
210,2052
211,10439
212,10121
213,4756
214,11710
215,15728
216,14377
217,19677
218,5669
219,6774
220,10898
221,12598
222,10634
223,8958
224,15831
225,14113
226,455
227,10303
228,16743
229,5085
230,18710
231,11771
232,18904
233,12877
234,2539
235,15392
236,9616
237,5442
238,7205
239,13142
240,19603
241,11524
242,5637
243,2305
244,16823
245,12281
246,14186
247,947
248,18875
249,3232
250,2134
251,19207
252,16252
253,742
254,11748
255,6099
256,6735
257,5951
258,5240
259,1630
260,7972
261,8503
262,12474
263,4310
264,14703
265,2273
266,7852
267,6809
268,11207
269,13203
270,18067
271,12619
272,14023
273,5049
274,16227
275,735
276,10443
277,14759
278,1370
279,1862
280,18706
281,3986
282,11922
283,1739
284,10633
285,16250
286,375
287,2502
288,18036
289,19592
290,17722
291,8364
292,4822
293,12457
294,13418
295,14835
296,11468
297,7143
298,12995
299,18583
300,11453
301,2712
302,15718
303,9673
304,12421
305,7826
306,3041
307,19259
308,6286
309,7116
310,7199
311,1561
312,15464
313,1667
314,9497
315,10108
316,7832
317,9897
318,6071
319,19431
320,5165
321,15876
322,19785
323,16951
324,18612
325,6846
326,184
327,10549
328,4565
329,13746
330,17363
331,7292
332,9209
333,3870
334,7191
335,10805
336,8738
337,16878
338,9719
339,14236
340,17822
341,15920
342,3593
343,13276
344,11399
345,2307
346,14841
347,3672
348,4614
349,8220
350,17689
351,17206
352,13134
353,4208
354,11750
355,7381
356,17365
357,4347
358,5732
359,3042
360,8718
361,2111
362,15704
363,1849
364,478
365,19386
366,6152
367,12110
368,2108
369,17720
370,3064
371,10219
372,5048
373,9742
374,16392
375,12151
376,17180
377,181
378,9286
379,2480
380,14742
381,17038
382,5767
383,8212
384,15470
385,15659
386,8069
387,2228
388,14760
389,16114
390,7815
391,15925
392,17732
393,15259
394,11676
395,19620
396,15641
397,19499
398,9766
399,8630
400,9255
401,16796
402,18962
403,17659
404,5523
405,17060
406,19611
407,7340
408,14198
409,143
410,15052
411,19294
412,2636
413,10142
414,15218
415,3465
416,9283
417,8756
418,6523
419,13018
420,6707
421,6955
422,17528
423,4058
424,9963
425,1141
426,15502
427,2826
428,33
429,6867
430,18201
431,16774
432,636
433,7969
434,16353
435,11314
436,10139
437,18952
438,10386
439,3956
440,10325
441,7365
442,14728
443,3715
444,10146
445,13215
446,5552
447,16632
448,6913
449,12562
450,14344
451,12053
452,13519
453,186
454,8696
455,3650
456,14173
457,17331
458,18571
459,4835
460,18655
461,14535
462,5368
463,364
464,13171
465,17144
466,11158
467,18878
468,5300
469,5588
470,13051
471,12539
472,16361
473,1452
474,1874
475,12046
476,3626
477,7942
478,2188
479,15892
480,9743
481,10780
482,10465
483,13272
484,1924
485,4697
486,7444
487,14924
488,5325
489,19136
490,10190
491,8461
492,4235
493,12537
494,6587
495,15044
496,6026
497,4068
498,4611
499,12533
500,11618
501,16336
502,7284
503,18722
504,19411
505,16665
506,16056
507,16935
508,11561
509,5161
510,10158
511,12196
512,547
513,5941
514,5305
515,11048
516,12460
517,2327
518,460
519,535
520,19715
521,4927
522,12402
523,14635
524,15932
525,11586
526,2688
527,10996
528,11069
529,14741
530,12062
531,14543
532,5853
533,14097
534,10631
535,11168
536,11737
537,16209
538,192
539,15624
540,19242
541,6143
542,14725
543,9966
544,11092
545,18198
546,18967
547,14716
548,16631
549,15328
550,210
551,8236
552,1486
553,3423
554,7217
555,867
556,5075
557,10311
558,10298
559,2369
560,15314
561,10503
562,1311
563,10705
564,9670
565,14953
566,9197
567,18007
568,471
569,16471
570,17955
571,11972
572,19767
573,5221
574,19893
575,3574
576,8319
577,3441
578,6162
